[info] DATA_STD (clamped): 1.3303 (raw std: 1.3303)
[info] u_HFHR stats: min=-3.54604, max=3.70565, mean=-4.56397e-09, any_nan=False, any_inf=False
[info] sigma probe: min=0.00654378, max=151.294, any<=0=False, any_nan=False
[jit] sigma stats: min=0.01179713848978281, max=151.06932067871094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014665229246020317, max=151.9503936767578, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007011534180492163, max=149.91287231445312, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003652784740552306, max=149.4078826904297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012954271398484707, max=151.41038513183594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013602063991129398, max=151.61007690429688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.006722050718963146, max=149.85826110839844, any_nan=False, any_le0=False
[jit] sigma stats: min=0.012937028892338276, max=151.40518188476562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.007913180626928806, max=150.09519958496094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.005988285411149263, max=149.7288360595703, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014940201304852962, max=152.04071044921875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014610903337597847, max=151.9325714111328, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014291025698184967, max=151.828857421875, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009957273490726948, max=150.5724334716797, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0062483190558850765, max=149.77317810058594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004166327882558107, max=149.46603393554688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013704638928174973, max=151.6422576904297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01071540080010891, max=150.7699432373047, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011510161682963371, max=150.98794555664062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.003766645211726427, max=149.42013549804688, any_nan=False, any_le0=False
[jit] sigma stats: min=0.0066824620589613914, max=149.85098266601562, any_nan=False, any_le0=False
[jit] sigma stats: min=0.015037091448903084, max=152.0728302001953, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004175194073468447, max=149.46710205078125, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01335648912936449, max=151.53367614746094, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010842468589544296, max=150.80409240722656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01119366753846407, max=150.89991760253906, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011222979053854942, max=150.90797424316406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.004778491798788309, max=149.54466247558594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010385537520051003, max=150.68275451660156, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014653596095740795, max=151.94654846191406, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013260568492114544, max=151.50405883789062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.010992965660989285, max=150.84487915039062, any_nan=False, any_le0=False
[jit] sigma stats: min=0.011945822276175022, max=151.1119842529297, any_nan=False, any_le0=False
[jit] sigma stats: min=0.00574782257899642, max=149.6892852783203, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009919043630361557, max=150.56272888183594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008931336924433708, max=150.3223419189453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008281867019832134, max=150.1748809814453, any_nan=False, any_le0=False
[jit] sigma stats: min=0.014998813159763813, max=152.06005859375, any_nan=False, any_le0=False
[jit] sigma stats: min=0.008170840330421925, max=150.15061950683594, any_nan=False, any_le0=False
[jit] sigma stats: min=0.013183655217289925, max=151.48036193847656, any_nan=False, any_le0=False
[jit] sigma stats: min=0.01530687790364027, max=152.16270446777344, any_nan=False, any_le0=False
[jit] sigma stats: min=0.009805144742131233, max=150.53402709960938, any_nan=False, any_le0=False
